x,y,z,|U|,acc
-0.0604794, 0.326563, 0.77212, 0.438197, 0
-0.0416, 0.137378, 0.703908, 0.408141, 0
-0.0444041, 0.161695, 0.708991, 0.411005, 0
-0.0472081, 0.186011, 0.714075, 0.413881, 0
-0.0500122, 0.210328, 0.719158, 0.416767, 0
-0.0528163, 0.234645, 0.724241, 0.419663, 0
-0.0556204, 0.258961, 0.729324, 0.42257, 0
-0.0584244, 0.283278, 0.734407, 0.425486, 0
-0.0612285, 0.307594, 0.739491, 0.428412, 0
-0.0640326, 0.331911, 0.744574, 0.431347, 0
-0.0694803, 0.133566, 0.706764, 0.405082, 0.385825
-0.0722844, 0.157883, 0.711848, 0.40791, 0
-0.0750884, 0.182199, 0.716931, 0.410749, 0
-0.0778925, 0.206516, 0.722014, 0.4136, 0
-0.0806966, 0.230833, 0.727097, 0.416461, 0
-0.0835007, 0.255149, 0.73218, 0.419334, 0
-0.0863047, 0.279466, 0.737264, 0.422216, 0
-0.0891088, 0.303782, 0.742347, 0.425109, 0
-0.0919129, 0.328099, 0.74743, 0.428012, 0
-0.0180205, 0.134765, 0.293515, 0.580542, 0
-0.0204705, 0.159614, 0.29476, 0.70857, 0
-0.0229205, 0.184462, 0.296004, 0.836658, 0
-0.0253704, 0.209311, 0.297249, 0.964782, 0
-0.0278204, 0.23416, 0.298493, 1.09293, 0
-0.0302704, 0.259008, 0.299738, 1.22109, 0
-0.0327204, 0.283857, 0.300982, 1.34927, 0
-0.0351703, 0.308705, 0.302227, 1.47745, 0
-0.0376203, 0.333554, 0.303471, 1.60564, 0
-0.0302096, 0.132776, 0.309246, 0.58868, 0
-0.0326596, 0.157624, 0.310491, 0.715246, 0
-0.0351096, 0.182473, 0.311735, 0.842314, 0
-0.0375596, 0.207321, 0.31298, 0.969687, 0
-0.0400095, 0.23217, 0.314224, 1.09726, 0
-0.0424595, 0.257018, 0.315469, 1.22497, 0
-0.0449095, 0.281867, 0.316713, 1.35277, 0
-0.0473595, 0.306715, 0.317958, 1.48065, 0
-0.0498094, 0.331564, 0.319202, 1.60858, 0
-0.00228572, 0.1357, 0.305826, 0.581542, 0
-0.0047357, 0.160549, 0.30707, 0.709574, 0
-0.00718567, 0.185397, 0.308314, 0.837665, 0
-0.00963564, 0.210246, 0.309559, 0.965791, 0
-0.0120856, 0.235094, 0.310803, 1.09394, 0
-0.0145356, 0.259943, 0.312048, 1.22211, 0
-0.0169856, 0.284791, 0.313292, 1.35028, 0
-0.0194355, 0.30964, 0.314537, 1.47847, 0
-0.0218855, 0.334488, 0.315781, 1.60666, 0
-0.00583141, 0.136755, 0.277784, 0.59037, 0
-0.00828138, 0.161604, 0.279029, 0.71665, 0
-0.0107314, 0.186452, 0.280273, 0.843517, 0
-0.0131813, 0.211301, 0.281518, 0.970741, 0
-0.0156313, 0.236149, 0.282762, 1.0982, 0
-0.0180813, 0.260998, 0.284007, 1.22581, 0
-0.0205312, 0.285846, 0.285251, 1.35355, 0
-0.0229812, 0.310695, 0.286496, 1.48136, 0
-0.0254312, 0.335543, 0.28774, 1.60925, 0
-0.0337553, 0.133831, 0.281205, 0.579562, 0
-0.0362053, 0.158679, 0.28245, 0.707583, 0
-0.0386553, 0.183528, 0.283694, 0.835665, 0
-0.0411052, 0.208376, 0.284938, 0.963786, 0
-0.0435552, 0.233225, 0.286183, 1.09193, 0
-0.0460052, 0.258073, 0.287427, 1.22009, 0
-0.0484552, 0.282922, 0.288672, 1.34827, 0
-0.0509051, 0.30777, 0.289916, 1.47645, 0
-0.0533551, 0.332619, 0.291161, 1.60464, 0
0.170015, 0.13475, 0.441948, 0.632532, 0
0.168753, 0.159614, 0.444224, 0.761129, 0
0.167491, 0.184478, 0.446499, 0.890123, 0
0.166229, 0.209342, 0.448775, 1.01936, 0
0.164967, 0.234206, 0.45105, 1.14877, 0
0.163705, 0.259071, 0.453326, 1.27828, 0
0.162443, 0.283935, 0.455601, 1.40788, 0
0.161182, 0.308799, 0.457877, 1.53755, 0
0.15992, 0.333663, 0.460152, 1.66725, 0
0.157707, 0.132694, 0.457578, 0.625103, 0
0.156446, 0.157559, 0.459854, 0.754932, 0
0.155184, 0.182423, 0.462129, 0.8848, 0
0.153922, 0.207287, 0.464405, 1.01469, 0
0.15266, 0.232151, 0.46668, 1.1446, 0
0.151398, 0.257016, 0.468956, 1.27452, 0
0.150136, 0.28188, 0.471231, 1.40445, 0
0.148874, 0.306744, 0.473507, 1.53439, 0
0.147612, 0.331608, 0.475782, 1.66433, 0
0.185747, 0.134418, 0.454293, 0.636306, 0
0.184485, 0.159282, 0.456568, 0.765034, 0
0.183223, 0.184147, 0.458844, 0.894119, 0
0.181962, 0.209011, 0.461119, 1.02343, 0
0.1807, 0.233875, 0.463395, 1.15288, 0
0.179438, 0.258739, 0.46567, 1.28244, 0
0.178176, 0.283604, 0.467946, 1.41207, 0
0.176914, 0.308468, 0.470221, 1.54176, 0
0.175652, 0.333332, 0.472497, 1.67149, 0
0.182323, 0.136805, 0.426318, 0.656551, 0
0.181061, 0.161669, 0.428593, 0.781237, 0
0.179799, 0.186533, 0.430869, 0.907405, 0
0.178537, 0.211397, 0.433144, 1.03451, 0
0.177275, 0.236261, 0.43542, 1.16225, 0
0.176013, 0.261126, 0.437695, 1.29044, 0
0.174751, 0.28599, 0.439971, 1.41895, 0
0.173489, 0.310854, 0.442246, 1.5477, 0
0.172227, 0.335718, 0.444522, 1.67664, 0
0.154283, 0.135081, 0.429604, 0.628802, 0
0.153021, 0.159945, 0.431879, 0.757259, 0
0.151759, 0.184809, 0.434155, 0.886155, 0
0.150497, 0.209673, 0.43643, 1.01532, 0
0.149235, 0.234538, 0.438706, 1.14467, 0
0.147973, 0.259402, 0.440981, 1.27415, 0
0.146711, 0.284266, 0.443257, 1.40371, 0
0.145449, 0.30913, 0.445532, 1.53334, 0
0.144187, 0.333995, 0.447808, 1.66303, 0
